datetime,time,open,high,low,close,volume
2026-03-19 14:05:00,14:05:00,401.5,404.15,396.6,401.45,86385
2026-03-19 14:10:00,14:10:00,393.05,404.85,388.95,402.85,78195
2026-03-19 14:15:00,14:15:00,395.4,396.95,376.7,380.7,28665
2026-03-19 14:20:00,14:20:00,345.25,352.65,345.25,349.55,84370
2026-03-19 14:25:00,14:25:00,373.8,386.65,372.75,381.35,29965
2026-03-19 14:30:00,14:30:00,392.5,396.05,383.15,391.65,19565
2026-03-19 14:35:00,14:35:00,381.65,384.15,375.05,380.9,10140
2026-03-19 14:40:00,14:40:00,393.9,395.8,386.2,386.2,12935
2026-03-19 14:45:00,14:45:00,421.9,429.5,419.9,426.45,22425
2026-03-19 14:50:00,14:50:00,421.05,430.65,418.9,419.3,19305
2026-03-19 14:55:00,14:55:00,478.25,528.0,466.9,528.0,98670
2026-03-19 15:00:00,15:00:00,482.9,491.7,468.5,473.2,220870
2026-03-19 15:05:00,15:05:00,468.9,493.85,467.15,489.65,19370
2026-03-19 15:10:00,15:10:00,463.4,469.8,443.55,448.7,16380
2026-03-19 15:15:00,15:15:00,421.75,431.9,419.15,430.0,121745
2026-03-19 15:20:00,15:20:00,425.1,425.45,390.0,390.0,45175
2026-03-19 15:25:00,15:25:00,402.3,402.5,393.35,398.7,12935
2026-03-20 09:15:00,09:15:00,304.05,304.05,243.8,244.75,575315
2026-03-20 09:20:00,09:20:00,292.85,293.9,283.9,286.35,266825
2026-03-20 09:25:00,09:25:00,255.2,258.85,253.1,257.9,395395
2026-03-20 09:30:00,09:30:00,265.45,270.85,264.0,270.4,112905
2026-03-20 09:35:00,09:35:00,279.3,289.05,276.65,287.3,193180
2026-03-20 09:40:00,09:40:00,276.95,285.8,276.25,284.45,212745
2026-03-20 09:45:00,09:45:00,301.6,302.8,296.35,298.1,145730
2026-03-20 09:50:00,09:50:00,294.45,295.15,283.4,285.6,128765
2026-03-20 09:55:00,09:55:00,301.0,302.95,294.7,295.05,74230
2026-03-20 10:00:00,10:00:00,291.2,298.8,289.35,295.95,69940
2026-03-20 10:05:00,10:05:00,307.8,308.25,291.65,291.65,101010
2026-03-20 10:10:00,10:10:00,301.55,303.2,297.2,301.15,43810
2026-03-20 10:15:00,10:15:00,325.9,331.0,322.3,330.05,60775
2026-03-20 10:20:00,10:20:00,283.2,288.4,280.75,288.4,418925
2026-03-20 10:25:00,10:25:00,294.9,299.95,293.05,295.9,55510
2026-03-20 10:30:00,10:30:00,284.35,287.85,281.95,284.05,83785
2026-03-20 10:35:00,10:35:00,254.0,254.2,250.35,252.3,298740
2026-03-20 10:40:00,10:40:00,264.7,266.0,261.6,264.9,85150
2026-03-20 10:45:00,10:45:00,265.6,266.2,262.1,262.3,72540
2026-03-20 10:50:00,10:50:00,256.4,257.4,250.55,254.9,177970
2026-03-20 10:55:00,10:55:00,251.4,254.3,251.4,253.95,87685
2026-03-20 11:00:00,11:00:00,282.4,285.5,279.75,280.4,83720
2026-03-20 11:05:00,11:05:00,247.0,249.0,243.2,243.65,742625
2026-03-20 11:10:00,11:10:00,260.45,266.25,259.45,265.85,74425
2026-03-20 11:15:00,11:15:00,261.45,263.35,252.2,254.7,132015
2026-03-20 11:20:00,11:20:00,230.1,233.45,229.0,230.55,261105
2026-03-20 11:25:00,11:25:00,239.8,241.6,238.0,239.75,199355
2026-03-20 11:30:00,11:30:00,270.8,271.6,265.25,265.65,108745
2026-03-20 11:35:00,11:35:00,248.0,249.85,244.1,246.0,274040
2026-03-20 11:40:00,11:40:00,251.1,252.75,246.5,252.75,144365
2026-03-20 11:45:00,11:45:00,265.1,266.35,258.55,262.8,231140
2026-03-20 11:50:00,11:50:00,262.35,278.35,262.15,278.35,256750
2026-03-20 11:55:00,11:55:00,285.85,287.8,283.3,286.1,224965
2026-03-20 12:00:00,12:00:00,283.85,295.2,277.8,293.55,190255
2026-03-20 12:05:00,12:05:00,328.65,329.55,319.25,321.05,94380
2026-03-20 12:10:00,12:10:00,311.5,312.65,298.25,299.15,193570
2026-03-20 12:15:00,12:15:00,298.35,308.35,297.6,306.9,58565
2026-03-20 12:20:00,12:20:00,361.15,368.0,359.1,361.65,182650
2026-03-20 12:25:00,12:25:00,355.05,361.3,353.0,358.5,93990
2026-03-20 12:30:00,12:30:00,351.3,366.0,350.9,364.8,86970
2026-03-20 12:35:00,12:35:00,342.25,351.35,339.0,340.0,57460
2026-03-20 12:40:00,12:40:00,337.0,340.9,333.0,335.85,47840
2026-03-20 12:45:00,12:45:00,321.15,325.05,315.0,315.0,46020
2026-03-20 12:50:00,12:50:00,287.25,293.25,286.25,290.65,255905
2026-03-20 12:55:00,12:55:00,330.65,336.75,327.7,332.5,64870
2026-03-20 13:00:00,13:00:00,279.75,288.3,277.5,278.9,759395
2026-03-20 13:05:00,13:05:00,286.1,288.65,281.4,282.85,66170
2026-03-20 13:10:00,13:10:00,285.05,295.3,284.8,290.0,54795
2026-03-20 13:15:00,13:15:00,289.25,291.45,281.4,281.4,47190
2026-03-20 13:20:00,13:20:00,286.2,292.9,282.2,284.05,58500
2026-03-20 13:25:00,13:25:00,280.0,284.4,275.5,276.4,35360
2026-03-20 13:30:00,13:30:00,277.25,278.2,271.45,276.65,54405
2026-03-20 13:35:00,13:35:00,286.75,288.95,282.5,282.5,89050
2026-03-20 13:40:00,13:40:00,267.45,277.0,267.3,275.25,64805
2026-03-20 13:45:00,13:45:00,297.3,304.35,295.6,304.35,143975
2026-03-20 13:50:00,13:50:00,314.75,318.95,310.95,316.55,96330
2026-03-20 13:55:00,13:55:00,331.2,331.95,323.2,330.05,126165
2026-03-20 14:00:00,14:00:00,294.5,300.55,287.75,289.25,551980
2026-03-20 14:05:00,14:05:00,288.8,296.85,285.95,294.15,127790
2026-03-20 14:10:00,14:10:00,301.0,308.0,300.9,307.95,90220
2026-03-20 14:15:00,14:15:00,318.6,330.55,316.9,327.45,134355
2026-03-20 14:20:00,14:20:00,314.85,320.85,312.05,313.05,42510
2026-03-20 14:25:00,14:25:00,330.95,338.7,330.1,336.35,67600
2026-03-20 14:30:00,14:30:00,340.4,342.75,324.8,331.85,97305
2026-03-20 14:35:00,14:35:00,328.7,340.0,328.2,340.0,33345
2026-03-20 14:40:00,14:40:00,377.0,383.0,376.0,382.2,68445
2026-03-20 14:45:00,14:45:00,391.25,401.0,388.15,388.55,106015
2026-03-20 14:50:00,14:50:00,358.45,387.75,356.0,383.1,674765
2026-03-20 14:55:00,14:55:00,405.2,407.55,397.95,407.55,16640
2026-03-20 15:00:00,15:00:00,365.8,374.1,358.1,369.3,329030
2026-03-20 15:05:00,15:05:00,386.2,395.25,371.2,376.75,95225
2026-03-20 15:10:00,15:10:00,356.0,377.0,346.65,377.0,59540
2026-03-20 15:15:00,15:15:00,367.0,381.9,366.7,379.45,59930
2026-03-20 15:20:00,15:20:00,378.4,378.4,365.25,366.4,42055
2026-03-20 15:25:00,15:25:00,326.85,334.3,325.2,330.45,317395
2026-03-24 09:25:00,09:25:00,487.5,493.2,475.0,480.2,15405
2026-03-24 12:20:00,12:20:00,449.85,453.35,442.0,446.8,5915
2026-03-24 12:25:00,12:25:00,519.15,523.0,489.85,493.0,15925
