datetime,open,high,low,close,volume
2026-02-13 09:15:00,97.05,129.9,97.05,102.2,1985230
2026-02-13 09:16:00,100.15,102.55,95.15,102.35,2073240
2026-02-13 09:17:00,100.9,105.2,100.25,102.25,1372800
2026-02-13 09:18:00,102.65,108.65,102.25,103.95,1529645
2026-02-13 09:19:00,103.25,103.95,94.0,97.4,1476215
2026-02-13 09:20:00,96.95,97.4,90.8,96.65,1329055
2026-02-13 09:21:00,98.05,98.05,92.6,93.1,897260
2026-02-13 09:22:00,93.7,95.65,87.6,87.7,1293370
2026-02-13 09:23:00,88.55,93.1,87.7,91.65,969150
2026-02-13 09:24:00,91.75,94.3,90.75,93.75,1062945
2026-02-13 09:25:00,93.5,94.0,90.75,91.0,948870
2026-02-13 09:26:00,90.2,94.15,87.35,87.85,994175
2026-02-13 09:27:00,88.6,91.5,87.85,89.75,681070
2026-02-13 09:28:00,90.0,90.45,87.9,88.6,571350
2026-02-13 09:29:00,88.05,88.7,84.3,84.3,926315
2026-02-13 09:30:00,108.0,109.0,102.05,103.05,2682745
2026-02-13 09:31:00,104.9,106.85,103.05,103.5,1572675
2026-02-13 09:32:00,103.2,104.3,101.05,102.15,1851915
2026-02-13 09:33:00,101.8,104.2,101.7,102.9,1232400
2026-02-13 09:34:00,101.9,102.9,97.75,99.8,2181530
2026-02-13 09:35:00,100.3,101.45,98.65,101.05,1316120
2026-02-13 09:36:00,101.0,101.55,98.55,98.55,1279200
2026-02-13 09:37:00,99.55,100.4,98.3,99.15,1058655
2026-02-13 09:38:00,99.0,100.2,97.25,97.5,1103895
2026-02-13 09:39:00,97.5,97.75,94.95,96.0,1747980
2026-02-13 09:40:00,96.3,96.4,90.35,95.3,2412735
2026-02-13 09:41:00,95.1,100.1,95.0,99.9,2114970
2026-02-13 09:42:00,100.35,101.7,97.8,99.8,2239185
2026-02-13 09:43:00,99.6,101.6,98.6,99.85,1354080
2026-02-13 09:44:00,100.55,100.85,97.1,99.4,1490905
2026-02-13 09:45:00,99.25,101.1,97.75,100.6,1105780
2026-02-13 09:46:00,100.8,101.35,96.6,99.5,1362530
2026-02-13 09:47:00,99.55,100.1,96.05,96.2,1041170
2026-02-13 09:48:00,96.1,98.65,95.15,95.5,1767285
2026-02-13 09:49:00,95.6,96.65,93.0,93.7,1551290
2026-02-13 09:50:00,93.8,95.8,93.0,93.85,974220
2026-02-13 09:51:00,94.1,96.55,93.0,95.95,1047930
2026-02-13 09:52:00,96.0,99.2,95.95,97.7,1487655
2026-02-13 09:53:00,98.0,102.0,97.7,100.4,1605955
2026-02-13 09:54:00,100.75,101.3,97.1,97.1,1254305
2026-02-13 09:55:00,97.2,97.85,95.0,95.25,1081080
2026-02-13 09:56:00,95.0,95.25,90.4,92.4,2562690
2026-02-13 09:57:00,92.25,93.2,90.95,92.85,1338610
2026-02-13 09:58:00,93.05,94.35,91.9,93.0,869895
2026-02-13 09:59:00,92.9,94.4,92.05,92.25,679120
2026-02-13 10:00:00,92.45,95.25,92.25,93.9,808730
2026-02-13 10:01:00,94.3,96.5,93.65,95.9,804050
2026-02-13 10:02:00,95.8,96.0,93.1,94.0,675155
2026-02-13 10:03:00,93.75,95.8,92.8,94.8,577980
2026-02-13 10:04:00,94.85,97.4,93.6,97.4,767195
2026-02-13 10:05:00,97.1,97.4,94.75,95.15,700115
2026-02-13 10:06:00,95.6,95.65,92.55,92.55,667290
2026-02-13 10:07:00,92.85,94.8,92.0,92.95,675090
2026-02-13 10:08:00,93.0,94.1,91.55,92.8,752765
2026-02-13 10:09:00,93.45,93.7,91.0,92.4,686270
2026-02-13 10:10:00,92.45,93.15,91.25,92.05,504400
2026-02-13 10:11:00,91.9,93.75,91.85,92.8,525720
2026-02-13 10:12:00,93.0,96.6,92.5,96.55,836355
2026-02-13 10:13:00,96.85,96.85,92.2,92.25,717600
2026-02-13 10:14:00,92.15,93.7,90.05,91.2,1220570
2026-02-13 10:15:00,91.2,91.4,88.1,90.7,1941290
2026-02-13 10:16:00,115.6,116.2,113.35,114.45,487045
