Datetime,Open,High,Low,Close,Volume
2026-04-27 09:15:00,150.0,150.0,100.2,109.05,2942745
2026-04-27 09:16:00,108.25,118.5,99.75,102.2,2902380
2026-04-27 09:17:00,102.65,102.65,88.3,88.3,2160990
2026-04-27 09:18:00,89.4,100.0,88.3,98.85,1879410
2026-04-27 09:19:00,97.55,99.15,89.4,96.2,1413360
2026-04-27 09:20:00,98.0,102.0,96.2,100.6,1708720
2026-04-27 09:21:00,102.2,111.85,100.6,111.7,2719080
2026-04-27 09:22:00,111.85,114.3,106.55,110.85,2377700
2026-04-27 09:23:00,110.2,110.85,102.5,102.85,1784770
2026-04-27 09:24:00,101.35,106.0,100.0,103.85,1554215
2026-04-27 09:25:00,102.1,112.35,102.1,107.8,2007525
2026-04-27 09:26:00,107.4,108.2,94.9,97.6,2053220
2026-04-27 09:27:00,95.85,108.2,95.85,105.45,1879800
2026-04-27 09:28:00,105.75,109.95,104.7,107.25,1692405
2026-04-27 09:29:00,106.6,107.25,96.65,101.4,1649310
2026-04-27 09:30:00,101.15,105.15,96.7,99.4,1338415
2026-04-27 09:31:00,98.5,103.8,98.25,102.95,702455
2026-04-27 09:32:00,103.2,104.65,93.45,94.4,1732185
2026-04-27 09:33:00,93.4,94.4,87.0,89.0,2477475
2026-04-27 09:34:00,89.05,93.55,81.8,82.95,1949610
2026-04-27 09:35:00,83.3,91.45,82.4,89.55,1471795
2026-04-27 09:36:00,88.45,93.75,88.45,90.55,1276470
2026-04-27 09:37:00,90.4,90.75,85.7,88.25,958555
2026-04-27 09:38:00,86.55,88.25,79.5,84.2,2164955
2026-04-27 09:39:00,84.0,88.55,81.35,82.6,1203930
2026-04-27 09:40:00,82.95,89.0,82.6,88.6,918775
2026-04-27 09:41:00,87.7,91.75,85.6,86.35,1314300
2026-04-27 09:42:00,86.9,88.95,83.7,85.8,643890
2026-04-27 09:43:00,85.65,95.6,83.75,95.1,1179945
2026-04-27 09:44:00,95.7,99.0,91.85,98.05,1780090
2026-04-27 09:45:00,98.15,106.9,98.0,106.0,2854670
2026-04-27 09:46:00,105.85,110.15,104.9,107.85,2705170
2026-04-27 09:47:00,108.05,108.35,103.25,106.1,1761240
2026-04-27 09:48:00,107.0,116.35,104.15,112.65,3082560
2026-04-27 09:49:00,112.7,115.35,110.05,113.8,2377505
2026-04-27 09:50:00,112.45,120.0,112.4,118.6,3119350
2026-04-27 09:51:00,119.85,119.85,114.45,116.3,1951300
2026-04-27 09:52:00,116.85,122.5,114.35,120.3,2091245
2026-04-27 09:53:00,120.85,121.4,112.6,120.3,2194985
2026-04-27 09:54:00,120.35,123.05,116.55,121.6,1617070
2026-04-27 09:55:00,121.65,123.25,118.35,119.4,1711905
2026-04-27 09:56:00,119.2,123.6,119.2,120.6,1423500
2026-04-27 09:57:00,120.2,122.25,116.8,122.2,1146990
2026-04-27 09:58:00,122.2,126.0,119.9,124.1,1835990
2026-04-27 09:59:00,123.6,124.1,119.35,120.55,1377740
2026-04-27 10:00:00,119.7,121.45,116.8,119.0,1203020
2026-04-27 10:01:00,118.35,122.9,113.75,120.5,1854125
2026-04-27 10:02:00,119.9,120.6,115.2,119.65,863850
2026-04-27 10:03:00,119.55,119.95,115.7,118.4,568425
2026-04-27 10:04:00,118.55,118.55,107.25,107.25,1837810
2026-04-27 10:05:00,106.6,108.8,104.7,108.5,1730430
2026-04-27 10:06:00,108.25,111.5,103.25,111.5,1561690
2026-04-27 10:07:00,113.2,117.85,110.3,111.95,2288975
2026-04-27 10:08:00,111.9,116.1,111.05,114.9,974545
2026-04-27 10:09:00,115.0,115.15,109.2,111.1,985855
2026-04-27 10:10:00,112.45,113.15,108.4,111.2,816205
2026-04-27 10:11:00,111.4,116.4,108.6,115.0,1122745
2026-04-27 10:12:00,115.2,116.85,113.15,113.45,954330
2026-04-27 10:13:00,114.3,114.4,104.1,104.3,1440140
