datetime,open,high,low,close,volume
2026-03-23 09:15:00,522.45,522.45,487.5,507.05,1170
2026-03-23 09:16:00,450.0,473.4,441.25,472.25,31655
2026-03-23 09:17:00,475.3,485.7,472.25,482.25,17940
2026-03-23 09:18:00,480.65,486.0,470.0,472.4,7410
2026-03-23 09:19:00,472.5,477.3,469.15,471.1,29640
2026-03-23 09:20:00,469.4,484.9,465.55,481.25,9360
2026-03-23 09:21:00,483.2,499.4,481.25,495.25,12545
2026-03-23 09:22:00,498.0,508.5,483.35,483.35,29315
2026-03-23 09:23:00,488.35,505.0,483.35,500.45,5525
2026-03-23 09:24:00,499.1,507.4,481.75,481.75,8775
2026-03-23 09:25:00,481.5,493.4,481.5,489.6,4420
2026-03-23 09:26:00,489.7,493.85,485.7,487.25,4355
2026-03-23 09:27:00,492.0,505.0,487.25,495.65,13195
2026-03-23 09:28:00,496.5,496.5,486.0,486.2,3640
2026-03-23 09:29:00,486.7,493.1,485.5,485.5,4745
2026-03-23 09:30:00,484.0,499.45,480.4,496.75,3445
2026-03-23 09:31:00,494.25,496.75,485.0,489.0,1560
2026-03-23 09:32:00,487.9,489.95,483.5,483.8,11960
2026-03-23 09:33:00,488.0,498.45,483.8,490.1,10010
2026-03-23 09:34:00,489.45,495.7,484.65,491.55,2730
2026-03-23 09:35:00,452.8,467.75,446.0,466.8,2275
2026-03-23 09:36:00,460.15,479.3,460.15,476.95,2470
2026-03-23 09:37:00,474.5,476.95,464.15,464.8,2405
2026-03-23 09:38:00,506.85,506.85,496.8,497.15,2015
2026-03-23 09:39:00,497.2,498.05,492.15,495.4,2600
2026-03-23 09:40:00,491.65,496.0,478.5,479.8,13975
2026-03-23 09:41:00,478.0,490.0,477.95,486.5,10205
2026-03-23 09:42:00,484.65,487.1,476.2,480.55,21320
2026-03-23 09:43:00,480.15,482.6,479.25,480.7,7800
2026-03-23 09:44:00,475.0,490.45,474.55,486.5,3640
2026-03-23 09:45:00,479.45,486.5,475.4,479.25,1170
2026-03-23 09:46:00,480.1,480.8,472.45,475.3,8580
2026-03-23 09:47:00,470.6,475.3,463.9,467.1,7605
2026-03-23 09:48:00,500.0,503.55,486.1,488.05,11505
2026-03-23 09:49:00,491.0,495.25,488.05,495.25,2210
2026-03-23 09:50:00,492.2,495.25,490.0,490.0,585
2026-03-23 09:51:00,486.0,490.1,483.1,483.1,910
2026-03-23 09:52:00,483.15,490.45,482.0,490.45,2275
2026-03-23 09:53:00,487.0,490.45,478.1,478.1,1885
2026-03-23 09:54:00,473.1,478.1,468.2,471.25,5395
2026-03-23 09:55:00,468.95,471.25,467.25,470.9,1365
2026-03-23 09:56:00,506.9,512.0,495.75,497.8,20605
2026-03-23 09:57:00,497.55,502.55,490.0,493.85,11440
2026-03-23 09:58:00,495.65,512.9,493.85,505.5,10530
2026-03-23 09:59:00,505.45,505.5,486.85,489.25,10725
2026-03-23 10:00:00,492.3,492.55,482.0,485.5,5590
2026-03-23 10:01:00,484.5,497.0,482.0,487.8,13715
2026-03-23 10:02:00,485.35,498.05,485.35,497.7,3835
2026-03-23 10:03:00,498.0,504.1,493.95,494.7,6565
2026-03-23 10:04:00,490.0,504.55,490.0,504.45,5590
2026-03-23 10:05:00,504.9,511.25,503.8,504.0,3315
2026-03-23 10:06:00,504.5,509.9,504.0,509.35,2860
2026-03-23 10:07:00,512.0,517.0,504.9,504.9,4875
2026-03-23 10:08:00,501.1,504.9,496.0,500.3,3315
